Run,IterationsToTarget
1,13
2,6
3,12
4,8
5,7
6,5
7,7
8,14
9,15
10,4
11,3
12,5
13,10
14,4
15,12
16,12
17,8
18,8
19,13
20,7
21,5
22,9
23,13
24,5
25,13
26,4
27,2
28,13
29,4
30,21
