Run,IterationsToTarget
1,382
2,74
3,74
4,37
5,106
6,190
7,49
8,36
9,157
10,71
11,89
12,87
13,90
14,32
15,48
16,447
17,50
18,40
19,53
20,86
21,75
22,252
23,78
24,-1
25,69
26,61
27,155
28,332
29,29
30,144
