Run,IterationsToTarget
1,-1
2,76
3,-1
4,-1
5,45
6,-1
7,-1
8,-1
9,-1
10,55
11,-1
12,-1
13,31
14,-1
15,-1
16,-1
17,105
18,-1
19,-1
20,-1
21,-1
22,-1
23,87
24,-1
25,-1
26,-1
27,-1
28,-1
29,52
30,-1
