GA,PSO,SA,TS,RS
0.10548967622592367,0.10344586459689933,0.10267929024468547,0.08252741268566124,0.10025505446781466
0.10547974139555451,0.1040247007833231,0.10262734175206084,0.08564414692651766,0.10011757500918844
0.09663963098977263,0.11354330076282158,0.10413301229939408,0.08564414692651766,0.10185535252714686
0.1166406468830848,0.10341440595833376,0.10436830396184024,0.08534686224443426,0.10040606627891145
0.10116458964197944,0.0922745843484629,0.09775564214348512,0.08745210570206956,0.09350192001492558
0.10199572275906368,0.11307798985821757,0.09893411101125339,0.08571460924998463,0.10517170117771876
0.10261149137675092,0.09768377699674384,0.09758359712632073,0.08418146994538707,0.102053369457739
0.10630302424225002,0.12332359425864423,0.10264796877841505,0.08435984803115118,0.10482020392389926
0.10843471482875214,0.10832401519830676,0.10252673326169345,0.08809677204049304,0.10082326653253805
0.09791631920236707,0.10119417518283494,0.1088029985549012,0.0886302669367518,0.1012551777214174
0.09488619919826932,0.10271428508057069,0.09897143670608613,0.08390665047443271,0.09907392098926289
0.08891338044035983,0.10135133026647339,0.1039697649341916,0.08571460924998463,0.10367801734736738
0.10110763990935642,0.11343535015488622,0.0995842703708276,0.08809677204049304,0.09967198669048023
0.10716983065863572,0.11597082855596125,0.10341128150187182,0.08390665047443271,0.09540275018808919
0.11346035568445614,0.10648332752278528,0.10370809063892139,0.08571460924998463,0.10427143205081388
0.10357887034254101,0.09508883377567963,0.10542526881868843,0.08390665047443271,0.10088134467468901
0.10522883359224669,0.10157391654081487,0.11542096664374489,0.09327026874439837,0.10229008101895588
0.11518747187128614,0.10740480171213213,0.10206467814564259,0.08390665047443271,0.08974330151640554
0.10929065250391909,0.1121514991466664,0.1051653453425288,0.08776556243569651,0.08840447919961003
0.11694758159703336,0.09479285645278744,0.105652475271845,0.0889978637657522,0.10664435611662078
0.09822586077047571,0.10812550570369521,0.10682078170054299,0.08758995066412406,0.10338643613363274
0.09433462557404151,0.12305322820227915,0.10495114465893078,0.08658265206459366,0.10170367284104728
0.12236539752119782,0.09009255619106081,0.09717599635169272,0.08932359420508652,0.10021557168729235
0.10940641267585954,0.1181526842036832,0.10949135846305763,0.08632556977174363,0.10769620484702956
0.11050643355810258,0.1049023798349801,0.10360335377328,0.09042276966660749,0.0998536539581909
0.09668051393173652,0.11737256017556036,0.11624813313337413,0.09058584685427387,0.09559038663374218
0.11474075686600405,0.12497013509339605,0.10096413550641287,0.08252841729161393,0.09845170711792978
0.10119345044665462,0.10161835339413122,0.1056876167249046,0.08252741268566124,0.09366283306830707
0.100695558617171,0.11241133864573907,0.10881659428271459,0.08400680396269479,0.0953436188798656
0.12057783984643547,0.09089988185048822,0.09614458605253445,0.08804764402451025,0.10286699671662985
0.12071505308270353,0.1088197380451024,0.11745260709000085,0.08814632770513214,0.09274856997111557
0.11860145032261966,0.10421592209327528,0.09783500717902444,0.09191303754878088,0.09836800365767963
0.10497249163649024,0.09871702461722012,0.10097931586405814,0.08537661713011643,0.10006465765443118
0.11671406474562598,0.10353658700968482,0.10368821474136021,0.0852763908842941,0.0985247010822
0.11076248022148899,0.11508559243558858,0.1031153998960277,0.09446778968538685,0.10167781872741498
0.10413777071931196,0.10963498656086554,0.1024784067085425,0.08400680396269479,0.09865594688540248
0.10322197539777248,0.12478887176433441,0.09054590631386125,0.08648420487635665,0.10384126902409754
0.10992486248286158,0.12289040084920978,0.10857058483616412,0.08806072700064439,0.1092366736618884
0.11777143780112012,0.09491654112122289,0.10661833122277391,0.08390665047443271,0.09691211733659295
0.1187590107014404,0.11216843808325422,0.10407729445195621,0.08821279587783414,0.09404861319943766
0.11721980550973926,0.1035787025810216,0.10757550552816722,0.08263845650417495,0.09731420325537617
0.10614156303658842,0.10651951395923524,0.11073621498851242,0.08252841729161393,0.10022614868497157
0.10317257295931614,0.11167019898857242,0.10060318136186189,0.08571460924998463,0.09506573968403782
0.10181401796489134,0.10394377733764906,0.11438983470259986,0.08855077635845984,0.09109277158648109
0.11305039237053609,0.10186146072619319,0.09333900554106801,0.08390665047443271,0.10114020585844302
0.10127653154718745,0.09951426225271627,0.09981454022404475,0.08740098971065678,0.09620687955703962
0.11915898622729312,0.10194744106651371,0.09649443437428984,0.08648420487635665,0.10288920381630917
0.1142911487972238,0.11885561224010927,0.10822899824219821,0.08465983194206664,0.10205254194067406
0.1071045051534078,0.1316865688588846,0.10483810183370525,0.08390665047443271,0.09954757568931409
0.11023048721835307,0.09678910702671553,0.10267503387283275,0.08756570225810317,0.10074819552679001
