Scenario,Communication,Computation,Queueing,Total
25T / 150N,0.15038739212002383,0.010485989849599475,0.0,0.1608733819696233
50T / 100N,0.14762292437777388,0.02159460473189737,6.7301540986557734e-06,0.1692242592637699
100T / 50N,0.09773863906425799,0.06295206046823633,0.03705290938671879,0.1977436089192131
120T / 30N,0.1009011698397341,0.04153630417779372,0.1667451815414807,0.30918265555900853
