Scale,Total_Duration_s,Single_Evaluation_Time_s
10,0.02000713348388672,2.0007133483886718e-05
30,0.03502702713012695,3.502702713012695e-05
100,0.10058021545410156,0.00010058021545410156
300,0.45195960998535156,0.00045195960998535155
